rep,t,S,I,R
98,110.0,998,0,9002
98,110.2,998,0,9002
98,110.4,998,0,9002
98,110.60000000000001,998,0,9002
98,110.80000000000001,998,0,9002
98,111.0,998,0,9002
98,111.2,998,0,9002
98,111.4,998,0,9002
98,111.60000000000001,998,0,9002
98,111.80000000000001,998,0,9002
98,112.0,998,0,9002
98,112.2,998,0,9002
98,112.4,998,0,9002
98,112.60000000000001,998,0,9002
98,112.80000000000001,998,0,9002
98,113.0,998,0,9002
98,113.2,998,0,9002
98,113.4,998,0,9002
98,113.60000000000001,998,0,9002
98,113.80000000000001,998,0,9002
98,114.0,998,0,9002
98,114.2,998,0,9002
98,114.4,998,0,9002
98,114.60000000000001,998,0,9002
98,114.80000000000001,998,0,9002
98,115.0,998,0,9002
98,115.2,998,0,9002
98,115.4,998,0,9002
98,115.60000000000001,998,0,9002
98,115.80000000000001,998,0,9002
98,116.0,998,0,9002
98,116.2,998,0,9002
98,116.4,998,0,9002
98,116.60000000000001,998,0,9002
98,116.80000000000001,998,0,9002
98,117.0,998,0,9002
98,117.2,998,0,9002
98,117.4,998,0,9002
98,117.60000000000001,998,0,9002
98,117.80000000000001,998,0,9002
98,118.0,998,0,9002
98,118.2,998,0,9002
98,118.4,998,0,9002
98,118.60000000000001,998,0,9002
98,118.80000000000001,998,0,9002
98,119.0,998,0,9002
98,119.2,998,0,9002
98,119.4,998,0,9002
98,119.60000000000001,998,0,9002
98,119.80000000000001,998,0,9002
98,120.0,998,0,9002
99,0.0,9990,10,0
99,0.2,9989,11,0
99,0.4,9988,11,1
99,0.6000000000000001,9988,10,2
99,0.8,9987,11,2
99,1.0,9987,11,2
99,1.2000000000000002,9985,12,3
99,1.4000000000000001,9984,11,5
99,1.6,9982,13,5
99,1.8,9982,12,6
99,2.0,9981,13,6
99,2.2,9981,12,7
99,2.4000000000000004,9980,13,7
99,2.6,9979,14,7
99,2.8000000000000003,9978,14,8
99,3.0,9977,14,9
99,3.2,9977,14,9
99,3.4000000000000004,9974,16,10
99,3.6,9973,17,10
99,3.8000000000000003,9972,18,10
99,4.0,9971,18,11
99,4.2,9965,23,12
99,4.4,9964,24,12
99,4.6000000000000005,9961,27,12
99,4.800000000000001,9955,32,13
99,5.0,9954,33,13
99,5.2,9953,33,14
99,5.4,9945,39,16
99,5.6000000000000005,9943,40,17
99,5.800000000000001,9939,42,19
99,6.0,9933,47,20
99,6.2,9926,51,23
99,6.4,9922,52,26
99,6.6000000000000005,9914,57,29
99,6.800000000000001,9906,63,31
99,7.0,9897,70,33
99,7.2,9892,74,34
99,7.4,9884,78,38
99,7.6000000000000005,9878,80,42
99,7.800000000000001,9870,86,44
99,8.0,9861,91,48
99,8.200000000000001,9851,97,52
99,8.4,9839,106,55
99,8.6,9827,115,58
99,8.8,9819,118,63
99,9.0,9812,122,66
99,9.200000000000001,9804,125,71
99,9.4,9792,128,80
99,9.600000000000001,9776,141,83
99,9.8,9761,150,89
99,10.0,9747,160,93
99,10.200000000000001,9727,175,98
99,10.4,9706,189,105
99,10.600000000000001,9687,199,114
99,10.8,9670,207,123
99,11.0,9641,233,126
